Front	Back	Tags
<strong>Centroidal Dynamics</strong><br><br>一句话定义是什么？	如果说全关节动力学太重、LIP 又太简，那么 Centroidal Dynamics 就是中间那层最常用的折中：	robotics::concept::centroidal-dynamics
<strong>Contact Dynamics</strong><br><br>一句话定义是什么？	如果说 Floating Base Dynamics 研究的是“机器人底座不固定时整机怎么动”，那 Contact Dynamics 研究的就是：	robotics::concept::contact-dynamics
<strong>Contact-Rich Manipulation（接触丰富型操作）</strong><br><br>一句话定义是什么？	这类任务的难点不是“让手碰到物体”，而是“碰到以后如何稳定地利用接触”。<br><br><strong>关联概念</strong><ul><li>Manipulation</li><li>Contact Dynamics</li><li>TSID</li><li>Whole-Body Control</li><li>Loco-Manipulation</li></ul>	robotics::concept::contact-rich-manipulation
<strong>Domain Randomization</strong><br><br>一句话定义是什么？	把仿真环境“搞乱”，强制机器人在各种随机化的环境变体中训练，这样到了真实环境反而能应对。<br><br><strong>关联概念</strong><ul><li>Sim2Real</li><li>Reinforcement Learning</li><li>Whole-Body Control</li><li>Locomotion</li></ul>	robotics::concept::domain-randomization
<strong>Floating Base Dynamics</strong><br><br>一句话定义是什么？	如果说固定底座机械臂的基座是“焊死在地上”的，那人形、四足、无人机这类机器人就不是这样。	robotics::concept::floating-base-dynamics
<strong>Footstep Planning（步位规划）</strong><br><br>一句话定义是什么？	"步位规划回答的问题是：""接下来每只脚应该踩哪里、踩多久""——它连接高层导航目标与底层接触物理约束，是腿式机器人闭环运动规划的核心枢纽。<br><br><strong>关联概念</strong><ul><li>Capture Point / DCM</li><li>Locomotion</li><li>Model Predictive Control</li><li>Balance Recovery</li><li>Gait Generation</li><li>Terrain Adaptation</li></ul>"	robotics::concept::footstep-planning
<strong>Foundation Policy（基础策略模型）</strong><br><br>一句话定义是什么？	"Foundation Policy（基础策略模型）：在大规模多任务、多机器人形态演示数据上预训练的通用机器人策略，通过""规模化预训练 + 任务微调""范式，将跨任务泛化能力迁移到新场景——是 NLP 基础模型范式向物理控制的延伸。<br><br><strong>关联概念</strong><ul><li>模仿学习（Imitation Learning）</li><li>Diffusion Policy</li><li>VLA</li><li>Policy Optimization</li><li>Model-Based RL</li><li>Loco-Manipulation</li><li>Locomotion 任务</li><li>操作任务（Manipulation）</li></ul>"	robotics::concept::foundation-policy
<strong>Gait Generation（步态生成）</strong><br><br>一句话定义是什么？	"步态生成决定的是""腿的节律""——哪条腿先动、动多久、多快——是比步位规划更高层的时序编排，也是机器人从慢走到疾跑的关键调节器。<br><br><strong>关联概念</strong><ul><li>Locomotion</li><li>Footstep Planning</li><li>Model Predictive Control</li><li>Capture Point / DCM</li><li>Legged Gym</li></ul>"	robotics::concept::gait-generation
<strong>HQP（Hierarchical QP）</strong><br><br>一句话定义是什么？	"HQP 回答的是：""当机器人同时有多个目标，而且这些目标互相冲突时，应该优先满足哪个？"" — 答案是分层，先保命（平衡），再走路，再优雅（手臂姿态）。<br><br><strong>关联概念</strong><ul><li>TSID</li><li>Whole-Body Control</li><li>MPC 与 WBC 集成</li><li>LQR / iLQR</li><li>Crocoddyl</li></ul>"	robotics::concept::hqp
<strong>LIP / ZMP</strong><br><br>一句话定义是什么？	- LIP：用“质心高度近似不变”的简化模型描述双足机器人平衡与步行。 - ZMP：地面对机器人合力产生的等效力矩为零时，对应落在支撑面内的那个点。	robotics::concept::lip-zmp
<strong>Optimal Control (OCP)</strong><br><br>一句话定义是什么？	“给定一个会动的机器人，什么样的控制序列能让它完成任务的同时代价最小？”<br><br><strong>关联概念</strong><ul><li>LQR / iLQR</li><li>Model Predictive Control (MPC)</li><li>Whole-Body Control</li><li>Reinforcement Learning</li><li>Locomotion</li><li>MDP</li><li>Bellman 方程</li></ul>	robotics::concept::optimal-control
<strong>Privileged Training（特权信息训练）</strong><br><br>一句话定义是什么？	"让老师策略用""作弊信息""学会技能，然后教会学生策略只用真实传感器也能做到。<br><br><strong>关联概念</strong><ul><li>Sim2Real</li><li>Reinforcement Learning</li><li>Imitation Learning</li><li>Domain Randomization</li><li>Loco-Manipulation</li></ul>"	robotics::concept::privileged-training
<strong>Reward Design</strong><br><br>一句话定义是什么？	"奖励函数就是""你告诉机器人什么是好、什么是坏""的语言。设计得好，机器人学出你想要的；设计得差，机器人找到 reward hacking 的漏洞，表面指标满分，实际行为一塌糊涂。"	robotics::concept::reward-design
<strong>传感器融合（Sensor Fusion）</strong><br><br>一句话定义是什么？	传感器融合：将来自多个传感器（IMU、摄像头、激光雷达、腿部运动学）的测量值在概率框架下统一融合，估计机器人的位姿、速度和接触状态，为上层控制（MPC / WBC）提供实时、精确的状态输入。<br><br><strong>关联概念</strong><ul><li>状态估计（State Estimation）</li><li>接触估计（Contact Estimation）</li><li>浮动基动力学</li><li>MPC</li><li>全身运动控制（WBC）</li><li>Locomotion 任务</li></ul>	robotics::concept::sensor-fusion
<strong>Sim2Real</strong><br><br>一句话定义是什么？	在仿真里学会，在现实中生效。<br><br><strong>关联概念</strong><ul><li>Reinforcement Learning</li><li>Whole-Body Control</li><li>Locomotion</li><li>System Identification</li><li>Privileged Training</li></ul>	robotics::concept::sim2real
<strong>State Estimation</strong><br><br>一句话定义是什么？	控制器不是直接看见“真实世界”，它看到的是带噪声、带延迟、甚至不完整的传感器数据。	robotics::concept::state-estimation
<strong>System Identification</strong><br><br>一句话定义是什么？	State Estimation 在回答“机器人现在是什么状态”，那 System Identification 回答的是：	robotics::concept::system-identification
<strong>Terrain Adaptation（地形适应）</strong><br><br>一句话定义是什么？	地形适应不是“看见地面”，而是把看见的地形真正转成可执行的接触决策。<br><br><strong>关联概念</strong><ul><li>Locomotion</li><li>Footstep Planning</li><li>Privileged Training</li><li>Sim2Real</li><li>Balance Recovery</li></ul>	robotics::concept::terrain-adaptation
<strong>TSID</strong><br><br>一句话定义是什么？	如果说 MPC / Centroidal Dynamics 在回答“机器人整体接下来该怎么动”，那 TSID 回答的就是：	robotics::concept::tsid
<strong>Whole-Body Control (WBC)</strong><br><br>一句话定义是什么？	不单独控制每个关节，而是把整个身体当成一个整体来协调控制。<br><br><strong>关联概念</strong><ul><li>Locomotion</li><li>Imitation Learning</li><li>WBC vs RL</li><li>Sim2Real</li><li>Contact Estimation</li><li>Query：什么时候该用 WBC，什么时候该用 RL？</li></ul>	robotics::concept::whole-body-control
